
Quadro extraído em 08 de Novembro de 2025 (12:20:08)
http://www.ine.pt



Período de referência dos dados (1) ;Local de residência (NUTS - 2013) (2) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
(1) 2011-2020, Estimativas Definitivas de População Residente - estimativas intercensitárias revistas (revisão regular geral) tendo por referência os resultados dos Censos 2011 e 2021. A partir de 2021, Estimativas Provisórias de População Residente - estimativas pós-censitárias assentes nos resultados dos Censos 2021. <BR>2022, Estimativas Provisórias de População Residente revistas em junho de 2024, que incluem na população residente as pessoas deslocadas da Ucrânia beneficiárias do regime de Proteção Temporária em Portugal.

(2) Estimativas de População Residente segundo a divisão administrativa correspondente à versão da Carta Administrativa Oficial de Portugal em vigor à data dos Censos 2021 (CAOP 2020) e à versão das NUTS (NUTS 2013) em vigor a partir de 1 de janeiro de 2015.



Última atualização destes dados: 18 de junho de 2024


Metainformação associada ao quadro

População residente (N.º)
Designação;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual
Periodicidade;Anual
Fonte;INE, Estimativas anuais da população residente
Primeiro período disponível;2011
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2013)
     Dimensão 3;Sexo
     Dimensão 4;Grupo etário
Conceitos
     GRUPO ETÁRIO;Intervalo de idade, em anos, no qual o indivíduo se enquadra, de acordo com o momento de referência
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
Definição;
Fórmula;Valor estimado
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;18-Jun-2024
